id,in_temperature,out_temperature,lever_arm_coefficient_sims,roll_torque_general,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1369.2445651237344,0.56,79539.03,1389429.9937865757,85491.97438900243,0.9243186029856768,0.6422952958129203,0.016990781834870444,0.1025816764770406
1,1369.2445651237344,1363.5098830362692,,,,,,,,
2,1363.5098830362692,1361.4958682552833,0.56,68137.26,1135971.4990185841,71862.51304731597,0.953938379959382,0.8022680196350377,0.013410032418945273,0.10682936892048601
3,1361.4958682552833,1356.7714055909953,,,,,,,,
4,1356.7714055909953,1355.6059242727108,0.53,65758.90,1230822.3081425636,73976.76688615615,0.9361443239431765,1.2490301442867318,0.013365713945881659,0.10086823125604423
5,1355.6059242727108,1351.8521259485694,,,,,,,,
6,1351.8521259485694,1351.658733995759,0.54,43226.15,917972.0283376825,51536.700382890194,0.9010773006412216,1.3725591826127275,0.00869531757360027,0.08723190634777173
7,1351.658733995759,1348.1763043554336,,,,,,,,
8,1348.1763043554336,1350.062256472848,0.51,46524.43,967310.5590339808,51401.618560070885,0.9770173897268123,2.486312583681232,0.008605055359616571,0.0934042179122252
9,1350.062256472848,1346.9404299788755,,,,,,,,
10,1346.9404299788755,1348.0737860989448,0.54,29711.23,626366.0266615424,32591.451169012285,0.8631789539257813,2.2934485475693953,0.0064166684533211275,0.08842273992750477
11,1348.0737860989448,1344.527187983064,,,,,,,,
12,1344.527187983064,1347.4568292284525,0.49,24775.94,707542.7596146002,31245.496412643333,0.9678315543981755,4.463752351721902,0.00506401091037567,0.07087892120314099
13,1347.4568292284525,1344.2694155895472,,,,,,,,
14,1344.2694155895472,1346.7019888593209,0.51,20773.71,506515.84127374005,24434.84381969073,0.9471264889684018,4.377814292161198,0.004967241861605069,0.08055862413054511
15,1346.7019888593209,1338.4838266388258,,,,,,,,
16,1338.4838266388258,1343.4702230586317,0.48,18880.87,559648.6673025951,23145.493572645737,0.8910205971936633,8.96484796321541,0.0039964669125924415,0.07036445266446828
17,1343.4702230586317,1339.632476200557,,,,,,,,
18,1339.632476200557,1342.5509014566965,0.50,12309.17,353475.11425950157,14542.146420525964,0.9256200784558997,7.310710340865871,0.003181433423960803,0.0691573598951817
19,1342.5509014566965,1339.3566221665349,,,,,,,,
20,1339.3566221665349,1345.4333658153212,0.45,15048.46,505443.9507727298,19681.031595577162,0.9021834793712888,16.324818202269846,0.0030748589980966775,0.06649263894069621
21,1345.4333658153212,1342.572352850482,,,,,,,,
22,1342.572352850482,1347.506944409778,0.48,10933.45,329825.0211741104,13392.099170719557,0.9151130727330422,16.1389253232672,0.0023540316624702023,0.06967640784074167
23,1347.506944409778,1345.2700912817807,,,,,,,,
24,1345.2700912817807,1351.1953938253978,0.45,6192.52,281067.7641804065,8398.64636753976,0.8685615304925378,30.745247713443156,0.0016451217625752445,0.04883928936408374
25,1351.1953938253978,1348.1441085718184,,,,,,,,
26,1348.1441085718184,1352.5642844369313,0.48,4322.02,188344.03054884434,5617.519552149065,0.9291563895533068,28.960214854915986,0.0013138941351150803,0.048274242152344465
27,1352.5642844369313,1350.0402551576703,,,,,,,,
28,1350.0402551576703,1356.3908268165212,0.43,4132.88,226326.1405872683,6145.975698648934,0.9023966406838819,53.74037317149721,0.0011604460532596342,0.04251254316488082
29,1356.3908268165212,1353.9108900144213,,,,,,,,
30,1353.9108900144213,1358.1558949906557,0.46,2900.72,143863.3522133268,4047.8466410777896,0.9338908348713828,43.54955704029087,0.0009636178453485958,0.044314225301676856
