id,in_temperature,out_temperature,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1369.2460105034818,1306645.7077098272,67008.00888605985,0.9243033300092534,0.6424244373922672,0.01698786373567509,0.10256492405046132
1,1369.2460105034818,1363.5112600117877,,,,,,
2,1363.5112600117877,1361.4980090621063,1092807.3159351847,58363.933823282954,0.9539228361224403,0.8023645624621949,0.013408082390119586,0.10681468356265024
3,1361.4980090621063,1356.7735039801305,,,,,,
4,1356.7735039801305,1355.609258255463,1171981.3142733017,59096.71663563733,0.9361234648304453,1.2492890318792615,0.013363047298043934,0.10084924719517531
5,1355.609258255463,1351.8553913361845,,,,,,
6,1351.8553913361845,1351.664684312765,788908.6147557746,34388.87716754849,0.9010219485579443,1.3734400165004135,0.008689954034504399,0.08718088895047592
7,1351.664684312765,1348.1821466296558,,,,,,
8,1348.1821466296558,1350.0704116764782,839728.6326114186,39195.3164943222,0.9769446676860596,2.487683288463933,0.008599806914210695,0.09335234020169393
9,1350.0704116764782,1346.9485028045824,,,,,,
10,1346.9485028045824,1348.0817320020014,630441.0199403743,27869.956825247766,0.8631688558973944,2.293508662786426,0.006415983701329726,0.08841416070256229
11,1348.0817320020014,1344.5350457533123,,,,,,
12,1344.5350457533123,1347.4688535251605,542322.5084481433,19196.018364345076,0.9676914717347507,4.469850561842625,0.005057269888050973,0.07079189251899028
13,1347.4688535251605,1344.2813157975488,,,,,,
14,1344.2813157975488,1346.7126666562074,533613.7846491296,21493.91253045337,0.9471278846998551,4.37691713859106,0.004967313201315825,0.08055980991790306
15,1346.7126666562074,1338.4942778944119,,,,,,
16,1338.4942778944119,1343.4839113150188,472348.73609485757,16604.67838183354,0.8909085184979707,8.973738942841223,0.003992832359958195,0.0703068606433149
17,1343.4839113150188,1339.6459909655548,,,,,,
18,1339.6459909655548,1342.56283101962,371167.41341980384,12835.285826783112,0.9256120452651496,7.308341087526945,0.003181611429909711,0.06916170634982946
19,1342.56283101962,1339.368445977348,,,,,,
20,1339.368445977348,1345.452181624394,390882.68436481757,12976.314647818195,0.9019362542066073,16.356335332376176,0.0030697193677275306,0.06639493212089782
21,1345.452181624394,1342.5908618522078,,,,,,
22,1342.5908618522078,1347.5243300106108,299892.07229202124,10438.606081113883,0.9149355115226931,16.147017060636138,0.002351723725312777,0.06961575210263807
23,1347.5243300106108,1345.287297297967,,,,,,
24,1345.287297297967,1351.2169017219283,226088.55366166265,5511.545846808768,0.8683372275996415,30.805214832690623,0.0016419938139315398,0.048755638067875785
25,1351.2169017219283,1348.1653384306082,,,,,,
26,1348.1653384306082,1352.5836806937796,179480.2598587987,4328.978652886009,0.9290295086212622,28.96859779698132,0.001312838785609598,0.048239050425843116
27,1352.5836806937796,1350.0594485064412,,,,,,
28,1350.0594485064412,1356.4171222461744,169922.00305652566,3602.682954245472,0.9020543315781396,53.90329315876229,0.0011571615442607618,0.04240396051648492
29,1356.4171222461744,1353.936919375523,,,,,,
30,1353.936919375523,1358.1791751274734,137194.33486268914,3036.8992213528436,0.9337231141552157,43.56302683481326,0.0009625948264733,0.044271495967997836
