id,in_temperature,out_temperature,lever_arm_coefficient_sims,roll_torque_general,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1369.1707913753028,0.56,79847.18,1394814.9622664126,85823.11816231017,0.9312767844665198,0.6315181863127248,0.01705705558277971,0.10258146873085672
1,1369.1707913753028,1363.4576523946512,,,,,,,,
2,1363.4576523946512,1361.414343648413,0.56,69568.14,1144411.4922208886,72989.94812775792,0.9570921494597272,0.8012193668504505,0.013614382639848741,0.10826759848557804
3,1361.414343648413,1356.6941109850793,,,,,,,,
4,1356.6941109850793,1355.6851644340713,0.53,65546.43,1220086.3342151016,73560.50669217207,0.9214303074944891,1.285811800897169,0.013329123047181323,0.1014267876682008
5,1355.6851644340713,1351.9042774895377,,,,,,,,
6,1351.9042774895377,1351.820076242332,0.54,40825.01,900589.4190757778,49592.61547316447,0.8877012856822873,1.4079073277210963,0.008305597243664036,0.08397878141309854
7,1351.820076242332,1348.3220693356052,,,,,,,,
8,1348.3220693356052,1350.388580279914,0.51,44835.58,951013.9227950958,49831.85634658446,0.9525471735238471,2.563297095491015,0.008270501332798967,0.09155806579895373
9,1350.388580279914,1347.2503277583542,,,,,,,,
10,1347.2503277583542,1348.6057986491824,0.54,28045.29,617064.4548999963,31295.14173704188,0.8405581943734761,2.4403436116801873,0.006061712255610141,0.08472597274622319
11,1348.6057986491824,1345.0190109132643,,,,,,,,
12,1345.0190109132643,1348.0402437887792,0.49,22824.69,685061.5292969951,29373.401140893056,0.9381334329932217,4.642138514127399,0.004703783975288951,0.0674443555281341
13,1348.0402437887792,1344.8352478918919,,,,,,,,
14,1344.8352478918919,1347.487153335674,0.51,19230.68,494099.97217832075,23043.93150274036,0.9067200158511045,4.676329459785943,0.004606076325986208,0.0764537414175579
15,1347.487153335674,1339.1865968057398,,,,,,,,
16,1339.1865968057398,1344.694345230035,0.48,17350.92,546075.3955724388,21633.380808117698,0.8399196115211319,9.990599536497864,0.00359472825778456,0.06627571149791878
17,1344.694345230035,1340.8169902362945,,,,,,,,
18,1340.8169902362945,1343.7997015641631,0.50,10458.88,330631.62349174987,12781.231685955434,0.8723097502209214,7.871349758482805,0.002799947545350436,0.06283015405407559
19,1343.7997015641631,1340.5402575821008,,,,,,,,
20,1340.5402575821008,1347.8395863500486,0.45,13140.29,474207.34511250485,17556.07857788281,0.8124859778773436,19.909066245340675,0.0026362299999045926,0.06189432442469025
21,1347.8395863500486,1344.9027355827627,,,,,,,,
22,1344.9027355827627,1349.7700720971736,0.48,8069.92,281873.96123256575,10481.363762137033,0.8070849828591549,17.864618775692822,0.0018966425667786629,0.0601929811080108
23,1349.7700720971736,1347.4364651844687,,,,,,,,
24,1347.4364651844687,1353.5254155676234,0.45,4730.91,260015.50129803293,6874.273289800244,0.7931987209669178,36.69535041938571,0.0012662120336248749,0.04035205514423836
25,1353.5254155676234,1350.4064013334644,,,,,,,,
26,1350.4064013334644,1354.5944184623947,0.48,3232.85,165239.42170638242,4483.404847486887,0.8505606747240447,31.584343677864904,0.0010684777384556434,0.04117131905978548
27,1354.5944184623947,1351.992745535832,,,,,,,,
28,1351.992745535832,1358.9581575581142,0.43,3363.86,211142.52253968836,5252.511830944625,0.81759036972284,65.18557317414037,0.0009376746604190346,0.037105816322140835
29,1358.9581575581142,1356.4254284186388,,,,,,,,
30,1356.4254284186388,1360.5367656380927,0.45,2133.46,125789.8112519942,3191.0495944621644,0.8472847596553374,49.010289469849795,0.0007694605358621891,0.03729195487115112
