id,measure1,measure2,wicon  ,base/base/base    ,base/base/lendl_equivalent_method,base/hill_spreading/base,base/hill_spreading/lendl_equivalent_method,base/wusatowski_spreading/base,base/wusatowski_spreading/lendl_equivalent_method,hensel_power_and_labour/base/base,hensel_power_and_labour/base/lendl_equivalent_method,hensel_power_and_labour/hill_spreading/base,hensel_power_and_labour/hill_spreading/lendl_equivalent_method,hensel_power_and_labour/wusatowski_spreading/base,hensel_power_and_labour/wusatowski_spreading/lendl_equivalent_method,sims_power_and_labour/base/base,sims_power_and_labour/base/lendl_equivalent_method,sims_power_and_labour/hill_spreading/base,sims_power_and_labour/hill_spreading/lendl_equivalent_method,sims_power_and_labour/wusatowski_spreading/base,sims_power_and_labour/wusatowski_spreading/lendl_equivalent_method
17,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
18,14779.0 ,13914.0 ,13650.0,11221.27135120708 ,10326.852369076878               ,12912.181001831992      ,11824.240996286444                         ,17027.32634436997             ,12835.285826783112                               ,13558.99830006818                ,12457.756000698002                                  ,15665.17874633421                          ,14299.645866115336                                            ,21106.69374138081                                ,15580.85708177095                                                   ,12834.727740500448             ,12781.224363078796                                ,14054.252670423635                       ,13721.760000378074                                          ,18088.212326169243                             ,14542.169754869126
19,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
20,13881.5 ,12247.0 ,18900.0,11278.852442085044,10477.570302568787               ,11873.02614638225       ,11055.08323796945                          ,17472.240281521907            ,12976.314647818195                               ,13939.84045255089                ,12870.57183093485                                   ,14767.78503627342                          ,13657.357134174032                                            ,23008.106703510854                               ,16293.737019299757                                                  ,17577.759733411163             ,17556.0738344659                                  ,18524.796971528936                       ,18310.8711399411                                            ,23336.654351029905                             ,19681.096738680597
21,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
22,11679.5 ,10732.0 ,13150.0,7815.152059275428 ,7330.024378889289                ,9546.862776784496       ,8883.563259447641                          ,14510.701994707782            ,10438.606081113883                               ,9553.462190570532                ,8922.078717558385                                   ,11843.98524628946                          ,10953.699020591392                                            ,19164.750804676514                               ,13096.71249532903                                                   ,10289.528347803003             ,10481.355782561684                                ,11811.639078623788                       ,11780.291536161249                                          ,16837.17531265316                              ,13392.121749653908
23,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
24,5727.5  ,5793.5  ,7700.0 ,3860.676320506648 ,3565.0642674051337               ,4109.417013249271       ,3813.530211510086                          ,8556.587499257375             ,5511.545846808768                                ,4636.926497346274                ,4272.603678426747                                   ,4949.183327714106                          ,4579.950482820438                                             ,11131.237474914526                               ,6761.261359305399                                                   ,6583.056525689729              ,6874.271608884825                                 ,6973.192792450912                        ,7156.812293747321                                           ,10816.726244813062                             ,8398.660113417078
25,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
26,3034.5  ,3125.5  ,5200.0 ,3158.577369840745 ,3022.200891120221                ,3724.758257479014       ,3552.279947532512                          ,6596.50800410097              ,4328.978652886009                                ,3795.0321841483255               ,3624.683934281649                                   ,4508.36057646972                           ,4288.065808865879                                             ,8480.006774946483                                ,5297.953847694475                                                   ,4219.757979575495              ,4483.401534380078                                 ,4746.743535376362                        ,4928.573860563838                                           ,7601.818886922881                              ,5617.526111775898
27,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
28,3803.5  ,1805.5  ,5350.0 ,2711.921075535798 ,2584.1895739457755               ,2857.7642931009195      ,2741.168733884689                          ,5570.839928466444             ,3602.682954245472                                ,3294.43260721481                 ,3128.505794887408                                   ,3489.465921515101                          ,3335.6105358513746                                            ,7472.57416999324                                 ,4500.718652012135                                                   ,4980.773989133599              ,5252.510618513157                                 ,5262.235437963958                        ,5451.715828158034                                           ,7959.820448473877                              ,6145.985075587492
29,        ,        ,       ,                  ,                                 ,                        ,                                           ,                              ,                                                 ,                                 ,                                                    ,                                           ,                                                              ,                                                 ,                                                                    ,                               ,                                                  ,                                         ,                                                            ,                                               ,
30,2279.0  ,4174.5  ,3605.0 ,2153.6045559339227,2061.1583417276397               ,2605.13384384718        ,2489.1651467595407                         ,4612.333529568245             ,3036.899221352844                                ,2614.332986483926                ,2493.9817518756186                                  ,3209.2909016587696                         ,3053.565450641926                                             ,6164.562563100046                                ,3805.883035702612                                                   ,2998.7500799725403             ,3191.047104098412                                 ,3443.9561583199693                       ,3560.445895575292                                           ,5521.867452722586                              ,4047.851574840413
