id,in_temperature,out_temperature,roll_gap_ratio,deformation_resistance,lever_arm_coefficient,rolling_efficiency,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1370.3625640110538,0.78,1.012e+08,0.64,0.76,1721424.749277611,88351.31801421946,0.9243800315824694,0.6417837147019583,0.01700247620357406,0.1026490621228674
1,1370.3625640110538,1364.6115435573643,,,,,,,,,,
2,1364.6115435573643,1363.74082215244,0.79,1.064e+08,0.64,0.76,1428625.078379695,76374.56124335823,0.9540317616702273,0.8016045957990213,0.013422112453454722,0.10692037036054278
3,1363.74082215244,1358.9889419043063,,,,,,,,,,
4,1358.9889419043063,1358.8905929821437,1.04,1.087e+08,0.58,0.80,1454696.3422315482,73423.46304035437,0.9362288625962216,1.2480164336968838,0.013376721508177042,0.1009467899365452
5,1358.8905929821437,1355.102838391148,,,,,,,,,,
6,1355.102838391148,1355.881614367722,0.86,1.158e+08,0.63,0.77,1007104.9498473867,43951.328186099614,0.9011343387420531,1.3719158663968036,0.008700626383999144,0.08728251845601563
7,1355.881614367722,1352.3607601413369,,,,,,,,,,
8,1352.3607601413369,1355.4460759319286,1.11,1.196e+08,0.57,0.80,1029095.5528255452,48075.97865194737,0.9770577189955683,2.4856295035048306,0.008608021017325253,0.09343345915730981
9,1355.4460759319286,1352.280171261272,,,,,,,,,,
10,1352.280171261272,1354.2743208026175,1.06,1.204e+08,0.58,0.80,773458.1641072534,34227.70611456573,0.8632739603117957,2.2909404973674974,0.006423023150909722,0.08850564310500823
11,1354.2743208026175,1350.6700941700378,,,,,,,,,,
12,1350.6700941700378,1354.7083740896994,1.07,1.311e+08,0.58,0.80,663810.171168307,23522.232681658446,0.9678176468090697,4.465265142826467,0.005063365285360344,0.07087035933860211
13,1354.7083740896994,1351.4601309203374,,,,,,,,,,
14,1351.4601309203374,1354.8331138805297,1.33,1.301e+08,0.52,0.81,646857.917394729,26087.808604031135,0.9472646066056162,4.371531492325202,0.0049738627553584,0.08066008903192166
15,1354.8331138805297,1346.4399821740117,,,,,,,,,,
16,1346.4399821740117,1352.8234130605679,1.41,1.434e+08,0.51,0.80,573245.9860733978,20174.583338002416,0.8910549564444445,8.962451740996643,0.003997911437380118,0.07038717698206189
17,1352.8234130605679,1348.8908714854058,,,,,,,,,,
18,1348.8908714854058,1352.697430343524,1.43,1.412e+08,0.51,0.80,449946.15266962006,15580.85708177095,0.9257808543077012,7.298793512657387,0.0031862769268912843,0.06925654098530068
19,1352.697430343524,1349.417497268647,,,,,,,,,,
20,1349.417497268647,1357.3349481285122,1.81,1.594e+08,0.45,0.77,490087.1412272962,16293.737019299755,0.9021806687482362,16.32731395352994,0.003074929890876941,0.06649322395399444
21,1357.3349481285122,1354.3782011414144,,,,,,,,,,
22,1354.3782011414144,1360.7859461987719,1.83,1.594e+08,0.45,0.77,375627.76481603715,13096.71249532903,0.9152156099461705,16.12354915052755,0.0023560688465266095,0.06973239851821451
23,1360.7859461987719,1358.4655546289805,,,,,,,,,,
24,1358.4655546289805,1365.8578548738394,1.66,1.683e+08,0.47,0.79,276865.094990679,6761.261359305399,0.8685653813156244,30.746409437559212,0.0016452360562797578,0.048841558445877946
25,1365.8578548738394,1362.6809041661606,,,,,,,,,,
26,1362.6809041661606,1368.1856036616769,1.66,1.667e+08,0.47,0.79,219240.3595766969,5297.953847694475,0.9292800691682407,28.92046809221378,0.0013155053174380255,0.04833009631915962
27,1368.1856036616769,1365.5508101436062,,,,,,,,,,
28,1365.5508101436062,1373.569243612017,1.84,1.826e+08,0.45,0.77,211823.76509717532,4500.718652012135,0.9023409027471635,53.776199773641395,0.0011599350727955248,0.042494935825046876
29,1373.569243612017,1370.969627537541,,,,,,,,,,
30,1370.969627537541,1376.3581796910537,1.89,1.777e+08,0.44,0.77,171511.12108854696,3805.8830357026122,0.9340267226487958,43.464890852032845,0.000965133367099189,0.04438059773089267
