id,in_temperature,out_temperature,lever_arm_coefficient_sims,roll_torque_general,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1369.1883552806444,0.56,79771.61,1393494.5627404836,85741.91190310092,0.9295912354510506,0.634057850922578,0.01704095789423208,0.1025815093930363
1,1369.1883552806444,1363.470181841667,,,,,,,,
2,1363.470181841667,1361.541302989444,0.56,68660.33,1133103.3784789518,72127.99904441953,0.9429648333362999,0.8176203742325685,0.013465251003758415,0.10792136516244653
3,1361.541302989444,1356.8018323574995,,,,,,,,
4,1356.8018323574995,1355.7257401485836,0.53,64285.20,1227221.0066678114,72955.21872159008,0.9314188496112094,1.2666943032182951,0.013070138847915972,0.09889855928695943
5,1355.7257401485836,1351.962694871272,,,,,,,,
6,1351.962694871272,1351.9473333924925,0.54,42116.04,905087.1148855613,50507.67472941607,0.8820760328899534,1.4285102678400852,0.008497192229680709,0.08620245227598272
7,1351.9473333924925,1348.4415934765286,,,,,,,,
8,1348.4415934765286,1350.2704970597192,0.51,45050.53,963896.5069660182,50206.12590018379,0.9757987708515988,2.487408664025099,0.008354221027089787,0.09076826643762556
9,1350.2704970597192,1347.1467000583116,,,,,,,,
10,1347.1467000583116,1348.6895036039361,0.54,29117.53,615093.9850944292,31965.73137234883,0.8310421935435067,2.5032047766728205,0.006275421755943782,0.08824445415348109
11,1348.6895036039361,1345.0855557010273,,,,,,,,
12,1345.0855557010273,1347.8648280404536,0.49,22362.48,686515.9147080067,29054.709753413757,0.9550685339750542,4.508175862580377,0.004662967406044454,0.06594060969233811
13,1347.8648280404536,1344.670420647236,,,,,,,,
14,1344.670420647236,1347.372858383467,0.51,19873.12,495232.76393045794,23550.00177324062,0.9088857545068036,4.646267205347692,0.004754838978594411,0.07882418232637674
15,1347.372858383467,1339.0793807683242,,,,,,,,
16,1339.0793807683242,1344.111562989288,0.48,17815.39,558762.4600279053,22188.744653817914,0.8733436412730531,9.366735326166102,0.0037184962823274613,0.06650577935627898
17,1344.111562989288,1340.2602701838389,,,,,,,,
18,1340.2602701838389,1343.5705422533908,0.50,11494.76,340500.5830357662,13721.760000378074,0.8758670726350016,8.051665091069221,0.0029942457688675386,0.06704589954458096
19,1343.5705422533908,1340.3176724019072,,,,,,,,
20,1340.3176724019072,1346.5987381911302,0.45,13729.33,492914.6031622808,18310.8711399411,0.8650256832531743,17.59685073096016,0.0027830070449160033,0.062214524091777294
21,1346.5987381911302,1343.7048316258617,,,,,,,,
22,1343.7048316258617,1349.3449782348507,0.48,9417.17,300252.2588966875,11780.291536161249,0.8175337185998072,18.648194395052517,0.002091942756501171,0.06593029747490876
23,1349.3449782348507,1347.0257704290668,,,,,,,,
24,1347.0257704290668,1352.5835386215938,0.45,4972.08,267262.3544007326,7156.812293747321,0.8261143788142367,33.42803557232474,0.0013361736940267065,0.041257557150805486
25,1352.5835386215938,1349.4975564121187,,,,,,,,
26,1349.4975564121187,1354.1816709799416,0.48,3669.84,173803.52723469757,4928.573860563838,0.858477049021715,32.4429042194466,0.0011586323364124,0.04442714537603901
27,1354.1816709799416,1351.5913877454338,,,,,,,,
28,1351.5913877454338,1357.8615994195056,0.43,3513.93,217136.3844793056,5451.715828158034,0.8571542429700645,58.79440731068289,0.0009880843091260834,0.037690230047632126
29,1357.8615994195056,1355.3567980830267,,,,,,,,
30,1355.3567980830267,1360.0143126264245,0.45,2470.41,133327.146888597,3560.445895575292,0.8578829753141807,50.372019732646876,0.0008459892030628247,0.04073244489733636
