Dataset-1,Dataset-2
149397.4528,145760.6637
133540.4979,133646.6044
131619.9742,129706.9198
77160.38709,76107.91872
92918.17939,89537.80452
54254.09481,53571.92554
49944.0081,48749.28337
37216.16642,37351.16339
45531.84264,37343.03681
29558.08353,27828.83556
27763.85964,24494.72025
23359.75816,21464.48016
11455.34370255,11587.2774635357
6069.64595920941,6251.11631496
7607.77758238235,3611.98413675
4558.21609255941,8349.00126467786
