id,in_temperature,out_temperature,lever_arm_coefficient_sims,roll_torque_general,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1369.2445231636057,0.56,79539.43,1389437.7148774054,85492.37504481581,0.9243185303013336,0.6422957950061204,0.016990947904139846,0.10258159675041659
1,1369.2445231636057,1363.5098414718216,,,,,,,,
2,1363.5098414718216,1361.495759984277,0.56,68137.39,1135973.7765072575,71862.65762942955,0.9539383677587808,0.8022679437811249,0.013410207556658975,0.10682936290341725
3,1361.495759984277,1356.7712986312424,,,,,,,,
4,1356.7712986312424,1355.6057593703122,0.53,65759.18,1230827.7584417313,73977.06174409881,0.9361442786009649,1.249030625223873,0.013365914157146552,0.10086819112647254
5,1355.6057593703122,1351.8519626778125,,,,,,,,
6,1351.8519626778125,1351.6585509539696,0.54,43226.29,917975.7200999904,51536.84793571696,0.901077197552083,1.372560548997448,0.00869541365923911,0.08723181151721343
7,1351.6585509539696,1348.176122873716,,,,,,,,
8,1348.176122873716,1350.0619715655782,0.51,46524.52,967312.1611750494,51401.73627547915,0.9770174572798717,2.486311054590565,0.00860531958533179,0.09340426336791251
9,1350.0619715655782,1346.940147406524,,,,,,,,
10,1346.940147406524,1348.0735077883326,0.54,29711.34,626368.8803762858,32591.557133671096,0.863178841519373,2.293451266016719,0.006416721093387022,0.08842264149721313
11,1348.0735077883326,1344.5269120865464,,,,,,,,
12,1344.5269120865464,1347.4564816113398,0.49,24776.00,707544.4551213166,31245.579641263368,0.967831566110899,4.463750945210143,0.005064208707742852,0.07087892839106714
13,1347.4564816113398,1344.2690708685013,,,,,,,,
14,1344.2690708685013,1346.7016100150154,0.51,20773.76,506517.03421282524,24434.900633290603,0.9471264871488495,4.37781442117892,0.004967350367714689,0.08055862278228046
15,1346.7016100150154,1338.4834558843067,,,,,,,,
16,1338.4834558843067,1343.469855226355,0.48,18880.95,559651.3315351016,23145.57780442715,0.8910204701281097,8.964856277705602,0.003996560591648678,0.07036438723141125
17,1343.469855226355,1339.6321120199339,,,,,,,,
18,1339.6321120199339,1342.5505173120923,0.50,12309.19,353475.81830869714,14542.169754869126,0.9256200161825673,7.3107115907380384,0.003181501935727943,0.06915733108410482
19,1342.5505173120923,1339.3562411891944,,,,,,,,
20,1339.3562411891944,1345.4329694003845,0.45,15048.52,505446.0663523653,19681.096738680593,0.9021833541191452,16.324829626544133,0.0030749898635633777,0.06649258880081395
21,1345.4329694003845,1342.5719595042176,,,,,,,,
22,1342.5719595042176,1347.5065401917666,0.48,10933.47,329825.70898488775,13392.121749653907,0.9151129853796758,16.138928300326796,0.0023540903643091042,0.06967637850477212
23,1347.5065401917666,1345.2696895368927,,,,,,,,
24,1345.2696895368927,1351.194990825654,0.45,6192.53,281068.496323727,8398.660113417078,0.8685614226223156,30.74527031904474,0.0016451793663489185,0.048839249093057605
25,1351.194990825654,1348.1437089261726,,,,,,,,
26,1348.1437089261726,1352.5638745450337,0.48,4322.02,188344.29365581993,5617.526111775898,0.9291563359434597,28.960215923633648,0.0013139336521595787,0.04827422858810527
27,1352.5638745450337,1350.0398480974097,,,,,,,,
28,1350.0398480974097,1356.3904061225808,0.43,4132.89,226326.59885462414,6145.985075587492,0.9023965834379419,53.74039284344415,0.0011605168064136352,0.04251252496686955
29,1356.3904061225808,1353.9104721836388,,,,,,,,
30,1353.9104721836388,1358.1554685702183,0.46,2900.73,143863.54655872195,4047.8515748404134,0.9338908077309217,43.54955826087325,0.0009636516163000014,0.04431421855756917
