id,in_temperature,out_temperature,roll_gap_ratio,deformation_resistance,lever_arm_coefficient,rolling_efficiency,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1370.2904763336564,0.78,1.011e+08,0.64,0.76,1724494.1184501487,88508.31603353625,0.9296193935178175,0.6336053990848729,0.017052321936627778,0.10264844059089184
1,1370.2904763336564,1364.5561368844483,,,,,,,,,,
2,1364.5561368844483,1363.7998285939798,0.80,1.064e+08,0.64,0.76,1434316.3788525057,77458.94434574612,0.9430001734087146,0.8169731939883136,0.013476331077142764,0.10800817098346949
3,1363.7998285939798,1359.0326395917502,,,,,,,,,,
4,1359.0326395917502,1359.0333600658382,1.02,1.092e+08,0.58,0.80,1427974.0727648558,70656.43721924927,0.931450307785726,1.265890467928412,0.013078527834233904,0.09896039230242278
5,1359.0333600658382,1355.235954085919,,,,,,,,,,
6,1355.235954085919,1356.241098037605,0.84,1.166e+08,0.63,0.77,991148.5643424796,42738.78942494547,0.8820946245196432,1.4279384760590654,0.008501067126424613,0.086240934936526
7,1356.241098037605,1352.695996210515,,,,,,,,,,
8,1352.695996210515,1355.704916877855,1.08,1.199e+08,0.57,0.80,1001749.6506659618,45471.435939427865,0.9758103857200384,2.487021473571951,0.008355750270943312,0.09078403153761724
9,1355.704916877855,1352.536595754276,,,,,,,,,,
10,1352.536595754276,1355.030579893497,1.05,1.215e+08,0.58,0.80,763125.830872705,33701.723127899386,0.831072168758515,2.500766252244537,0.00628128689759307,0.08832546813245294
11,1355.030579893497,1351.3666685516876,,,,,,,,,,
12,1351.3666685516876,1355.2375894776758,0.99,1.324e+08,0.59,0.79,617170.5326376752,20338.627291056797,0.9550512080895044,4.510790256645665,0.004660696797666742,0.06590926240153815
13,1355.2375894776758,1351.9812014222402,,,,,,,,,,
14,1351.9812014222402,1355.6596258362292,1.29,1.306e+08,0.53,0.81,621503.3641656829,24523.426759566315,0.9089245827577269,4.640432956773608,0.004760504997904109,0.07891647309902174
15,1355.6596258362292,1347.1861708857805,,,,,,,,,,
16,1347.1861708857805,1353.577128694284,1.33,1.435e+08,0.53,0.81,533669.6896832297,17742.818009329527,0.8733369968842523,9.368975158313468,0.00371780925522591,0.06649363211862803
17,1353.577128694284,1349.629572365109,,,,,,,,,,
18,1349.629572365109,1353.8807588727814,1.37,1.421e+08,0.52,0.80,426012.66866915073,14299.645866115336,0.8759067733754909,8.040406821451716,0.0029981782145105753,0.06713249120401489
19,1353.8807588727814,1350.5392220483625,,,,,,,,,,
20,1350.5392220483625,1358.546491457717,1.68,1.58e+08,0.47,0.79,439339.6719639375,13657.357134174033,0.8649942142755842,17.61131791760805,0.0027810340998403174,0.06217220071714842
21,1358.546491457717,1355.5554265632588,,,,,,,,,,
22,1355.5554265632588,1362.6927070105621,1.69,1.587e+08,0.47,0.78,332085.79616168997,10953.699020591392,0.8175434825914331,18.635217891136186,0.0020931878970285723,0.06596909080241493
23,1362.6927070105621,1360.2865062932754,,,,,,,,,,
24,1360.2865062932754,1367.0583656929466,1.39,1.666e+08,0.51,0.80,222327.9293554691,4579.950482820438,0.8260592701026347,33.48024942913574,0.0013342495950542641,0.041199956263684556
25,1367.0583656929466,1363.8470166939628,,,,,,,,,,
26,1363.8470166939628,1369.581913118832,1.51,1.664e+08,0.49,0.80,192900.89768978706,4288.065808865879,0.8584843253671977,32.413261580972126,0.0011594594743694674,0.044458743948011255
27,1369.581913118832,1366.8796550404566,,,,,,,,,,
28,1366.8796550404566,1374.5778907724402,1.62,1.798e+08,0.48,0.79,177336.91490080731,3335.6105358513746,0.8570787662382199,58.91661134620474,0.0009861574337582761,0.03761890791567153
29,1374.5778907724402,1371.9556120380387,,,,,,,,,,
30,1371.9556120380387,1377.7249792763332,1.71,1.769e+08,0.46,0.78,149790.00190510042,3053.565450641926,0.8578910741949928,50.31041982993103,0.0008467984598044379,0.040771285290142595
