id,in_temperature,out_temperature,roll_force,roll_torque,filling_ratio,strain_rate,contact_area,contact_length
0,1373.15,1369.1585593896482,1310847.3139687292,67221.06032295495,0.9326088562913839,0.6296210779364102,0.017066735954569767,0.10256123593744271
1,1369.1585593896482,1363.4492943360249,,,,,,
2,1363.4492943360249,1361.3204175685605,1117367.6617961312,60623.89254895078,0.9685856773325813,0.7895874952341393,0.01373036034059878,0.10851198691664282
3,1361.3204175685605,1356.612095542356,,,,,,
4,1356.612095542356,1355.440224536931,1198491.6852030307,61970.13472796514,0.9318403504340601,1.2507400930379462,0.013670465451531872,0.1034135413588073
5,1355.440224536931,1351.6808752457734,,,,,,
6,1351.6808752457734,1351.57088763064,778740.2618915036,33594.314307532964,0.8922017035066996,1.3974854220783268,0.008555916608691035,0.0862786116283106
7,1351.57088763064,1348.080131882404,,,,,,
8,1348.080131882404,1350.0195458473027,824355.7481837292,37975.75258125243,0.9682399012666458,2.5128631539132855,0.008428523902631758,0.09213437927720629
9,1350.0195458473027,1346.8949707694635,,,,,,
10,1346.8949707694635,1348.0674536866875,620633.7643651357,27035.07820458597,0.858640510862073,2.3223697026269234,0.006304576685680504,0.08712087468280408
11,1348.0674536866875,1344.5142322457943,,,,,,
12,1344.5142322457943,1347.5759363410355,530622.2900361528,18606.08721185944,0.949239092441834,4.579137802574297,0.00493577873862178,0.0701293087804199
13,1347.5759363410355,1344.381226500027,,,,,,
14,1344.381226500027,1346.8724504170452,513770.40467056166,20043.108615537265,0.9309625925127684,4.490779073502512,0.0047673895425301115,0.07802360133370954
15,1346.8724504170452,1338.6295723068451,,,,,,
16,1338.6295723068451,1344.005167757421,450425.4484163593,15470.57796030165,0.8579078793840199,9.578387600415448,0.0037877563186312206,0.06869317892536626
17,1344.005167757421,1340.1463848071426,,,,,,
18,1340.1463848071426,1343.0613794326234,344452.380183584,11221.27135120708,0.8942952611611893,7.5770988706139235,0.0029422876029896313,0.0651542680310494
19,1343.0613794326234,1339.8344664734577,,,,,,
20,1339.8344664734577,1347.0701604665753,353963.6616089793,11278.852442085043,0.8267341982904941,19.30838037314172,0.002751355321287308,0.0637288720023735
21,1347.0701604665753,1344.1494253397934,,,,,,
22,1344.1494253397934,1349.0009173953254,253017.3398766509,7815.152059275428,0.8243259409638221,17.44328425816752,0.0019690419597101386,0.06177562425630917
23,1349.0009173953254,1346.6910311436338,,,,,,
24,1346.6910311436338,1352.8942388374307,184961.5686359769,3860.676320506648,0.8008050802168372,36.209609493598016,0.001319670021572399,0.04174571343633931
25,1352.8942388374307,1349.7868481932178,,,,,,
26,1349.7868481932178,1353.956372713744,150623.16348928097,3158.577369840745,0.8609564032187118,30.974019541168502,0.0010954897013566195,0.041940127888304826
27,1353.956372713744,1351.3702386200443,,,,,,
28,1351.3702386200443,1358.3350378653054,143647.82865590174,2711.921075535798,0.8253818390723454,64.1661772853082,0.0009611937158385673,0.037757912540843395
29,1358.3350378653054,1355.8112237238472,,,,,,
30,1355.8112237238472,1359.888298961618,113390.93811178517,2153.6045559339227,0.8576694672557883,47.89536307377222,0.000788862873004729,0.03798547911846035
